时间戳记,user_id,age,gender,total_score,total_time,question_3d_image_list,question_options_list,question_answer_list,grid_size_list,score_list,time_list,sports,tiredness
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2024-3-4 下午02:48:30,CLCM,20,Female,0,192.1406772,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0","21.7290141582489, 15.720546007156372, 25, 20.961015462875366, 25, 21.773963689804077, 16.51002025604248, 23.837563276290894, 21.608554363250732",Sometime(1-2 days per week),3
2024-3-4 下午02:56:20,JYNK,20,Female,2,225,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 0, 1, 0, 1, 0, 0, 0","25, 25, 25, 25, 25, 25, 25, 25, 25",Sometime(1-2 days per week),2
2024-3-4 下午03:21:36,YNBT,20,Female,4,181.4789841,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 1, 0, 1, 0, 1","24.09066152572632, 25, 25, 25, 25, 20.54621195793152, 20.670953035354614, 16.171157598495483",Sometime(1-2 days per week),3
2024-3-7 下午02:34:32,BZBZ,19,Female,4,149.6358397,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","1, 1, 0, 1, 1, 0, 0, 0, 0","9.01353144645691, 14.655858278274536, 11.78454041481018, 14.247212648391724, 17.390899896621704, 17.8472900390625, 20.129137992858887, 21.808259963989258, 22.759109020233154",Frequently(>5 days per week),5
2024-3-7 下午03:51:47,0717,20,Female,3,97.66482687,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 1, 0, 1, 0, 1, 0, 0, 0","4.865718364715576, 3.671917200088501, 11.048298835754395, 10.142794132232666, 12.256710529327393, 7.76706862449646, 7.823438405990601, 22.45665693283081, 17.6322238445282",Never(0 days per week),4
2024-3-7 下午04:28:16,FAUZ,21,Female,2,153.5107644,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","1, 0, 1, 0, 0, 0, 0, 0, 0","22.2737774848938, 25.01683235168457, 14.086344957351685, 17.371010303497314, 25.018314838409424, 19.580432653427124, 17.396557092666626, 2.6692991256713867, 10.098195552825928",Never(0 days per week),0
2024-3-7 下午05:15:44,GG99,19,Male,5,152.2179697,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 1, 0, 1, 1, 0, 1","9.408838987350464, 12.656155586242676, 8.358649492263794, 16.375527143478394, 22.175699949264526, 22.39221692085266, 23.408949613571167, 12.744571924209595, 24.697360038757324",Often(3-4 days per week),5
2024-3-7 下午05:24:25,1145,21,Male,1,163.9000125,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","1, 0, 0, 0, 0, 0, 0, 0, 0","12.997244596481323, 11.73509669303894, 19.601235151290894, 23.62332057952881, 22.463929653167725, 20.62369704246521, 18.208393812179565, 20.231643676757812, 14.415451288223267",Frequently(>5 days per week),2
2024-3-7 下午05:55:52,LHNB,20,Male,6,139.820328,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 1, 1, 1, 1, 1","25, 16.660452365875244, 5.295839071273804, 24.056288719177246, 6.063785791397095, 24.064035654067993, 16.312092065811157, 14.360246658325195, 8.007587671279907",Frequently(>5 days per week),6
2024-3-7 下午06:15:03,SDLL,21,Female,1,187.899302,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 0, 0, 0, 1, 0, 0, 0","13.961670875549316, 15.048933506011963, 25, 24.549359560012817, 25, 21.07764220237732, 25, 21.349915266036987, 16.91178059577942",Often(3-4 days per week),5
2024-3-8 下午01:02:15,HYZY,21,Male,5,175.2563674,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","1, 0, 1, 0, 0, 0, 1, 1, 1","15.504519939422607, 23.440060138702393, 9.896523237228394, 24.031060218811035, 21.631685256958008, 22.37613582611084, 23.064040184020996, 22.39986252784729, 12.912480115890503",Sometime(1-2 days per week),5
,,,,,,,,,,,,,
2024-3-8 下午04:39:01,HWSY,19,Female,2,168.234062,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 0, 0, 0, 1, 0","11.149102210998535, 16.813353061676025, 11.621002197265625, 22.263988971710205, 24.370687007904053, 25.014623165130615, 19.89306616783142, 21.3767249584198, 15.73151421546936",Never(0 days per week),10
