时间戳记,user_id,age,gender,total_score,total_time,question_3d_image_list,question_options_list,question_answer_list,grid_size_list,score_list,time_list,sports,tiredness
2024-3-8 下午06:03:04,MLAW,21,Male,2,134.8167398,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 0, 0, 1, 0, 0","25.02355694770813, 16.705193758010864, 7.110463619232178, 9.89639139175415, 11.722734689712524, 12.096999406814575, 15.5473952293396, 20.649346590042114, 16.064658164978027",Sometime(1-2 days per week),0
2024-3-8 下午06:10:48,FZFZ,22,Male,0,113.3254848,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0","6.624030351638794, 14.745140314102173, 15.504162311553955, 10.731207847595215, 8.497507572174072, 10.554659605026245, 19.074671268463135, 9.317101955413818, 18.277003526687622",Sometime(1-2 days per week),0
2024-3-8 下午09:58:48,XHSB,20,Male,3,130.7197211,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 1, 0, 0, 0, 1","17.609577655792236, 13.708375930786133, 7.820216417312622, 19.44357442855835, 15.564947366714478, 14.404018878936768, 3.011059522628784, 22.217415809631348, 16.940535068511963",Never(0 days per week),7
2024-3-8 下午10:43:30,BABY,22,Female,2,172.2584405,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 0, 0, 0, 0, 1","22.80287003517151, 25.017497539520264, 16.584088563919067, 15.917355060577393, 21.54220676422119, 23.01306676864624, 19.604219675064087, 12.749853134155273, 15.027282953262329",Never(0 days per week),8
2024-3-8 下午11:09:59,HZKM,21,Female,2,106.7091916,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 0, 0, 1, 0, 0","25.018775463104248, 12.725373268127441, 13.97499418258667, 9.310089349746704, 6.651630878448486, 12.066401243209839, 12.733409643173218, 7.841265678405762, 6.387251853942871",Sometime(1-2 days per week),5
2024-3-9 下午01:55:04,XXXX,20,Female,0,134.0315733,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 0, 0, 0, 0, 0, 0, 0","12.608765125274658, 25.0191490650177, 25.01997709274292, 13.385264158248901, 12.720562934875488, 7.078302383422852, 16.18355631828308, 12.751431226730347, 9.264564990997314",Sometime(1-2 days per week),7
2024-3-9 下午02:28:41,MENG,20,Male,4,159.1738985,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 1, 1, 0, 0, 1, 0, 0, 1","5.629093647003174, 21.637457609176636, 22.74358344078064, 25, 14.461000442504883, 16.61501145362854, 10.016461372375488, 22.55090594291687, 20.520384550094604",Often(3-4 days per week),4
2024-3-9 下午07:11:38,DAUS,22,Male,1,93.95870471,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 0, 0, 1, 0, 0, 0, 0","25.019304037094116, 18.501986503601074, 15.171836853027344, 3.0628502368927, 6.347372531890869, 2.5242791175842285, 7.551267385482788, 8.825243949890137, 6.954564094543457",Sometime(1-2 days per week),0
2024-3-9 下午08:07:35,PTTR,21,Male,3,79.4226265,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 1, 1, 0, 0, 0, 0, 1, 0","9.464011669158936, 10.768011808395386, 8.687869787216187, 6.825161695480347, 8.73860502243042, 7.651232481002808, 12.041557550430298, 7.587437629699707, 7.658738851547241",Often(3-4 days per week),0
2024-3-9 下午10:12:50,XOXO,20,Male,2,166.992671,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 1, 0, 1, 0, 0, 0, 0","21.778125286102295, 10.71150517463684, 6.968589544296265, 25.019248723983765, 22.350942611694336, 18.16923499107361, 20.856839179992676, 25.022148370742798, 16.116037130355835",Sometime(1-2 days per week),6
2024-3-10 上午12:20:36,CTCT,22,Female,3,105.5079041,"./Figures/SRQ_1.png, ./Figures/SRQ_2.png, ./Figures/SRQ_3.png, ./Figures/SRQ_4.png, ./Figures/SRQ_5.png, ./Figures/SRQ_6.png, ./Figures/SRQ_7.png, ./Figures/SRQ_8.png, ./Figures/SRQ_9.png","./Figures/SRQ_1_a.png, ./Figures/SRQ_1_b.png, ./Figures/SRQ_1_d.png, ./Figures/SRQ_1_c.png, ./Figures/SRQ_2_c.png, ./Figures/SRQ_2_b.png, ./Figures/SRQ_2_a.png, ./Figures/SRQ_2_d.png, ./Figures/SRQ_3_d.png, ./Figures/SRQ_3_c.png, ./Figures/SRQ_3_b.png, ./Figures/SRQ_3_a.png, ./Figures/SRQ_4_c.png, ./Figures/SRQ_4_a.png, ./Figures/SRQ_4_b.png, ./Figures/SRQ_4_d.png, ./Figures/SRQ_5_a.png, ./Figures/SRQ_5_c.png, ./Figures/SRQ_5_d.png, ./Figures/SRQ_5_b.png, ./Figures/SRQ_6_d.png, ./Figures/SRQ_6_c.png, ./Figures/SRQ_6_a.png, ./Figures/SRQ_6_b.png, ./Figures/SRQ_7_c.png, ./Figures/SRQ_7_d.png, ./Figures/SRQ_7_a.png, ./Figures/SRQ_7_b.png, ./Figures/SRQ_8_a.png, ./Figures/SRQ_8_b.png, ./Figures/SRQ_8_c.png, ./Figures/SRQ_8_d.png, ./Figures/SRQ_9_d.png, ./Figures/SRQ_9_c.png, ./Figures/SRQ_9_a.png, ./Figures/SRQ_9_b.png","c, d, a, d, b, b, b, d, b","3, 3, 3, 4, 4, 4, 5, 5, 5","0, 0, 0, 0, 1, 1, 0, 1, 0","5.5105485916137695, 18.97604751586914, 23.996349811553955, 9.611428260803223, 12.596057653427124, 8.125690698623657, 10.666091203689575, 10.9312002658844, 5.094490051269531",Sometime(1-2 days per week),0
